time_s,drag_force_negative,drag_force_magnitude
6.19,-1.737855,1.737855
6.2,-1.737521,1.737521
6.21,-1.737193,1.737193
6.22,-1.736874,1.736874
6.23,-1.736541,1.736541
6.24,-1.736295,1.736295
6.25,-1.736051,1.736051
6.26,-1.73583,1.73583
6.27,-1.735663,1.735663
6.28,-1.735522,1.735522
6.29,-1.735376,1.735376
6.3,-1.735206,1.735206
6.31,-1.735029,1.735029
6.32,-1.734833,1.734833
6.33,-1.734673,1.734673
6.34,-1.734539,1.734539
6.35,-1.73438,1.73438
6.36,-1.734299,1.734299
6.37,-1.73423,1.73423
6.38,-1.734173,1.734173
6.39,-1.73412,1.73412
6.4,-1.734117,1.734117
6.41,-1.734147,1.734147
6.42,-1.7342,1.7342
6.43,-1.734257,1.734257
6.44,-1.734302,1.734302
6.45,-1.734401,1.734401
6.46,-1.734514,1.734514
6.47,-1.734636,1.734636
6.48,-1.734786,1.734786
6.49,-1.734976,1.734976
6.5,-1.735171,1.735171
6.51,-1.735375,1.735375
6.52,-1.735639,1.735639
6.53,-1.735909,1.735909
6.54,-1.736143,1.736143
6.55,-1.736351,1.736351
6.56,-1.736596,1.736596
6.57,-1.736897,1.736897
6.58,-1.737189,1.737189
6.59,-1.737532,1.737532
6.6,-1.737832,1.737832
6.61,-1.73816,1.73816
6.62,-1.738583,1.738583
6.63,-1.739018,1.739018
6.64,-1.739437,1.739437
6.65,-1.739882,1.739882
6.66,-1.740332,1.740332
6.67,-1.740731,1.740731
6.68,-1.741154,1.741154
6.69,-1.741589,1.741589
6.7,-1.742014,1.742014
6.71,-1.742442,1.742442
6.72,-1.742906,1.742906
6.73,-1.743418,1.743418
6.74,-1.743935,1.743935
6.75,-1.744436,1.744436
6.76,-1.744932,1.744932
6.77,-1.745444,1.745444
6.78,-1.745937,1.745937
6.79,-1.746337,1.746337
6.8,-1.746783,1.746783
6.81,-1.747207,1.747207
6.82,-1.747631,1.747631
6.83,-1.748035,1.748035
6.84,-1.748446,1.748446
6.85,-1.748881,1.748881
6.86,-1.749217,1.749217
6.87,-1.749546,1.749546
6.88,-1.749887,1.749887
6.89,-1.750239,1.750239
6.9,-1.750611,1.750611
6.91,-1.750987,1.750987
6.92,-1.751309,1.751309
6.93,-1.751606,1.751606
6.94,-1.75184,1.75184
6.95,-1.752061,1.752061
6.96,-1.752272,1.752272
6.97,-1.752461,1.752461
6.98,-1.752583,1.752583
6.99,-1.752677,1.752677
7.0,-1.752762,1.752762
7.01,-1.752854,1.752854
7.02,-1.752938,1.752938
7.03,-1.753027,1.753027
7.04,-1.753138,1.753138
7.05,-1.753291,1.753291
7.06,-1.753441,1.753441
7.07,-1.753495,1.753495
7.08,-1.753503,1.753503
7.09,-1.753541,1.753541
7.1,-1.753657,1.753657
7.11,-1.753772,1.753772
7.12,-1.753909,1.753909
7.13,-1.75408,1.75408
7.14,-1.754314,1.754314
7.15,-1.754541,1.754541
7.16,-1.754782,1.754782
7.17,-1.754933,1.754933
7.18,-1.755077,1.755077
7.19,-1.755158,1.755158
7.2,-1.755286,1.755286
7.21,-1.755432,1.755432
7.22,-1.755614,1.755614
7.23,-1.755737,1.755737
7.24,-1.75583,1.75583
7.25,-1.755886,1.755886
7.26,-1.755954,1.755954
7.27,-1.755983,1.755983
7.28,-1.756027,1.756027
7.29,-1.756042,1.756042
7.3,-1.756088,1.756088
7.31,-1.756115,1.756115
7.32,-1.756162,1.756162
7.33,-1.756174,1.756174
7.34,-1.756134,1.756134
7.35,-1.756075,1.756075
7.36,-1.756045,1.756045
7.37,-1.75601,1.75601
7.38,-1.756015,1.756015
7.39,-1.756033,1.756033
7.4,-1.756008,1.756008
7.41,-1.75601,1.75601
7.42,-1.756056,1.756056
7.43,-1.75608,1.75608
7.44,-1.756115,1.756115
7.45,-1.756115,1.756115
7.46,-1.756128,1.756128
7.47,-1.756166,1.756166
7.48,-1.756266,1.756266
7.49,-1.756444,1.756444
7.5,-1.756639,1.756639
7.51,-1.756775,1.756775
7.52,-1.756918,1.756918
7.53,-1.757069,1.757069
7.54,-1.7573,1.7573
7.55,-1.757539,1.757539
7.56,-1.757806,1.757806
7.57,-1.758155,1.758155
7.58,-1.758547,1.758547
7.59,-1.758889,1.758889
7.6,-1.759228,1.759228
7.61,-1.759606,1.759606
7.62,-1.760023,1.760023
7.63,-1.760455,1.760455
7.64,-1.760906,1.760906
7.65,-1.76138,1.76138
7.66,-1.76184,1.76184
7.67,-1.762341,1.762341
7.68,-1.762738,1.762738
7.69,-1.76316,1.76316
7.7,-1.763618,1.763618
7.71,-1.764154,1.764154
7.72,-1.76476,1.76476
7.73,-1.765377,1.765377
7.74,-1.765965,1.765965
7.75,-1.766583,1.766583
7.76,-1.767219,1.767219
7.77,-1.767848,1.767848
7.78,-1.768486,1.768486
7.79,-1.769167,1.769167
7.8,-1.769827,1.769827
7.81,-1.770462,1.770462
7.82,-1.771064,1.771064
7.83,-1.77162,1.77162
7.84,-1.772156,1.772156
7.85,-1.772757,1.772757
7.86,-1.773335,1.773335
7.87,-1.773859,1.773859
7.88,-1.774348,1.774348
7.89,-1.774794,1.774794
7.9,-1.775232,1.775232
7.91,-1.775674,1.775674
7.92,-1.776046,1.776046
7.93,-1.776353,1.776353
7.94,-1.776681,1.776681
7.95,-1.777024,1.777024
7.96,-1.777394,1.777394
7.97,-1.777778,1.777778
7.98,-1.778155,1.778155
7.99,-1.778528,1.778528
8.0,-1.77883,1.77883
8.01,-1.779076,1.779076
8.02,-1.779276,1.779276
8.03,-1.779501,1.779501
8.04,-1.779771,1.779771
8.05,-1.779981,1.779981
8.06,-1.780163,1.780163
8.07,-1.780295,1.780295
8.08,-1.780396,1.780396
8.09,-1.780407,1.780407
8.1,-1.780417,1.780417
8.11,-1.780347,1.780347
8.12,-1.780211,1.780211
8.13,-1.780033,1.780033
8.14,-1.779834,1.779834
8.15,-1.77961,1.77961
8.16,-1.779413,1.779413
8.17,-1.779174,1.779174
8.18,-1.778932,1.778932
8.19,-1.778657,1.778657
8.2,-1.778345,1.778345
8.21,-1.778023,1.778023
8.22,-1.777639,1.777639
8.23,-1.7772,1.7772
8.24,-1.776752,1.776752
8.25,-1.776324,1.776324
8.26,-1.775931,1.775931
8.27,-1.775497,1.775497
8.28,-1.77509,1.77509
8.29,-1.774688,1.774688
8.3,-1.774311,1.774311
8.31,-1.773841,1.773841
8.32,-1.773382,1.773382
